mol_id,smiles,source_db,molecular_target,mechanism_class,best_ref_name,best_ref_id,adc_approved_ref,bystander_ref,ensemble_tanimoto,scaffold_match,scaffold_score,pharmacophore_score,composite_score,priority_tier,matched_pharmacophores,top5_refs,top5_scores,processed_at,valid_smiles,cytotox_hepg2,cytotox_hskmc,cytotox_imr90,cancer_potency_nci60,Protox_Class,Predicted LD50 (mg/kg)
CHEMBL1977739,COc1cc2c(cc1OCCN1CCN(CCOc3cc4c(cc3OC)C(=O)N3CCC[C@H]3C=N4)CC1)N=C[C@@H]1CCCN1C2=O,ChEMBL,DNA (minor groove),PBD Dimer,Tesirine payload (SG3199),21,Yes,High,0.6766,FALSE,0,0.1429,0.3669,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid,Tesirine payload (SG3199); Tomaymycin; KW-2189; Duocarmycin SA; Vincristine,0.677; 0.423; 0.359; 0.331; 0.330,13:24.7,TRUE,0.097817245,0.012509007,0.08677115,0.999348482,,
CHEMBL1978525,COc1cc2cc(C(=O)N3CC(CCl)c4ccccc43)[nH]c2c(OC)c1OC,ChEMBL,DNA (minor groove),Duocarmycin,KW-2189,29,No,High,0.6189,FALSE,0,0.2857,0.3666,3,Tubulin (?ý) - Vinca/Auristatin; DNA - PBD; RNA Polymerase II - Amatoxin; HSP90,KW-2189; Duocarmycin SA; Duocarmycin A; CC-1065; Adozelesin,0.619; 0.545; 0.527; 0.442; 0.396,09:14.5,TRUE,0.208564197,0.108733291,0.315634274,0.291326805,,
ZINC72340076,COc1cc2cc(C(=O)N3CCC(O)(c4cccnc4F)CC3)[nH]c2c(OC)c1OC,ZINC12,DNA (minor groove),Duocarmycin,Duocarmycin SA,26,No,High,0.5266,FALSE,0,0.2857,0.3205,3,Tubulin (?ý) - Vinca/Auristatin; RNA Polymerase II - Amatoxin; Kinesin Eg5 (KSP); HSP90,Duocarmycin SA; Duocarmycin A; KW-2189; CC-1065; Vincristine,0.527; 0.501; 0.498; 0.439; 0.404,21:09.1,TRUE,0.091159481,0.13247431,0.251443614,0.657562518,,
CHEMBL1982491,COc1cc2cc(C(=O)N3C[C@@H](CCl)c4c3cc(N)c3ccccc43)[nH]c2c(OC)c1OC,ChEMBL,DNA (minor groove),Duocarmycin,KW-2189,29,No,High,0.6102,FALSE,0,0.2857,0.3622,3,Tubulin (?ý) - Vinca/Auristatin; DNA - PBD; RNA Polymerase II - Amatoxin; HSP90,KW-2189; Duocarmycin SA; Duocarmycin A; CC-1065; Vincristine,0.610; 0.522; 0.515; 0.449; 0.403,12:43.2,TRUE,0.196497475,0.273319162,0.317643344,0.946464577,,
ZINC32909705,COc1ccc([C@@H]2CCCN2C(=O)c2cc3cc(OC)cc(OC)c3[nH]2)c(OC)c1,ZINC12,DNA (minor groove),Duocarmycin,Duocarmycin SA,26,No,High,0.4866,FALSE,0,0.2857,0.3005,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; RNA Polymerase II - Amatoxin; HSP90,Duocarmycin SA; KW-2189; Duocarmycin A; CC-1065; Adozelesin,0.487; 0.482; 0.470; 0.417; 0.369,54:21.3,TRUE,0.111572807,0.027091005,0.11604421,0.834998193,,
ZINC05428240,CCOC(=O)[C@@H]1CCCN(C(=O)c2cc3c(OC)c(OC)c(OC)cc3[nH]2)C1,ZINC12,DNA (minor groove),Duocarmycin,KW-2189,29,No,High,0.4906,FALSE,0,0.3571,0.3167,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; RNA Polymerase II - Amatoxin; Kinesin Eg5 (KSP); HSP90,KW-2189; Duocarmycin A; Duocarmycin SA; CC-1065; Vincristine,0.491; 0.485; 0.472; 0.416; 0.391,23:49.3,TRUE,0.035806932,0.005738472,0.071825855,0.296741674,,
CHEMBL1964767,CCOC(=O)c1cc2c3c(cc(OC)c2[nH]1)N(C(=O)OCC)CC3,ChEMBL,DNA (minor groove),Duocarmycin,KW-2189,29,No,High,0.5038,FALSE,0,0.2857,0.3091,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; DNA - PBD; RNA Polymerase II - Amatoxin,KW-2189; CC-1065; Duocarmycin SA; Vincristine; Duocarmycin A,0.504; 0.450; 0.429; 0.416; 0.406,14:06.1,TRUE,0.043997041,0.058436822,0.097278097,0.046573792,,
CHEMBL1195351,COC(=O)c1c(C)[nH]c2c1C1C(=CC2OC(=O)N2CCN(C)CC2)N(C(=O)/C=C/c2ccc(OC)c(OCCCN)c2)C[C@H]1CBr,ChEMBL,DNA (minor groove),Duocarmycin,KW-2189,29,No,High,0.5423,FALSE,0,0.2143,0.314,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; DNA - Calicheamicin/Enediyne,KW-2189; Duocarmycin SA; CC-1065; Duocarmycin A; Vincristine,0.542; 0.461; 0.444; 0.424; 0.423,09:14.5,TRUE,0.1102863,0.094389182,0.196461912,0.817132741,,
CHEMBL441114,COC(=O)c1c(C)[nH]c2c1[C@@]13C[C@@H]1CN(C(=O)/C=C/c1ccc(OC)c(N(C)C)c1)C3=CC2=O,ChEMBL,DNA (minor groove),Duocarmycin,Duocarmycin SA,26,No,High,0.6438,FALSE,0,0.2143,0.3648,3,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; Kinesin Eg5 (KSP),Duocarmycin SA; CC-1065; Adozelesin; Duocarmycin A; KW-2189,0.644; 0.556; 0.551; 0.530; 0.458,13:24.7,TRUE,0.164989391,0.247066086,0.223161658,0.986059427,,
CHEMBL304500,COC(=O)c1c2c(n(C)c1C)C(=O)C=C1N(C(=O)c3cc4cc(OC)c(OC)c(OC)c4[nH]3)C[C@H]3C[C@]123,ChEMBL,DNA (minor groove),Duocarmycin,Duocarmycin SA,26,No,High,0.8096,TRUE,1,0.3571,0.7763,1,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; RNA Polymerase II - Amatoxin; Kinesin Eg5 (KSP); HSP90,Duocarmycin SA; Duocarmycin A; CC-1065; Adozelesin; KW-2189,0.810; 0.693; 0.628; 0.599; 0.559,14:47.9,TRUE,0.159928214,0.206901054,0.273302131,0.799105518,,
CHEMBL68711,COC(=O)c1c2c(n(C)c1C)C(=O)C=C1N(C(=O)c3cc4cc(OC)c(OC)c(OC)c4n3C)C[C@H]3C[C@]123,ChEMBL,DNA (minor groove),Duocarmycin,Duocarmycin SA,26,No,High,0.6837,TRUE,1,0.2857,0.699,1,Tubulin (?ý) - Vinca/Auristatin; Tubulin (?ý) - Maytansinoid; Kinesin Eg5 (KSP); HSP90,Duocarmycin SA; Duocarmycin A; CC-1065; Adozelesin; KW-2189,0.684; 0.590; 0.564; 0.547; 0.479,09:56.1,TRUE,0.153464864,0.195565307,0.25276361,0.88185406,,
